#Query ID	Target ID
motif_Train9_5	motif_Train1_4
motif_Train9_5	motif_Train2_5
motif_Train9_5	motif_Train4_5
motif_Train9_5	motif_Train6_4
motif_Train9_5	motif_10_5
motif_Train9_5	motif_Train9_12
motif_Train9_5	motif_Train6_12
motif_Train9_5	motif_Train3_5
motif_Train9_5	motif_Train8_9
motif_Train9_5	motif_10_15
motif_Train9_6	motif_Train9_6
motif_Train9_6	motif_Train1_5
motif_Train9_6	motif_Train4_13
motif_Train9_6	motif_10_6
motif_Train9_6	motif_Train7_8
motif_Train9_6	motif_Train3_7
motif_Train9_6	motif_Train6_5
motif_Train9_6	motif_Train5_5
motif_Train9_6	motif_Train2_7
motif_Train9_6	motif_Train8_6
motif_Train9_6	motif_Train4_6
motif_Train9_6	motif_10_15
motif_Train9_7	motif_Train9_7
motif_Train9_7	motif_Train1_12
motif_Train9_7	motif_Train7_9
motif_Train9_7	motif_Train6_8
motif_Train9_7	motif_10_12
motif_Train9_7	motif_Train3_10
motif_Train9_7	motif_Train4_9
motif_Train9_7	motif_Train9_2
motif_Train9_7	motif_10_2
motif_Train9_7	motif_Train5_2
motif_Train9_7	motif_Train8_1
motif_Train9_7	motif_Train2_2
motif_Train9_7	motif_Train2_9
motif_Train9_7	motif_Train3_2
motif_Train9_7	motif_Train8_14
motif_Train9_7	motif_Train8_12
motif_Train9_7	motif_Train1_2
motif_Train9_7	motif_Train6_2
motif_Train9_7	motif_Train2_8
motif_Train9_7	motif_Train7_11
motif_Train9_8	motif_Train9_8
motif_Train9_8	motif_Train2_6
motif_Train9_8	motif_Train4_7
motif_Train9_8	motif_10_8
motif_Train9_8	motif_Train5_8
motif_Train9_8	motif_Train6_7
motif_Train9_8	motif_Train3_6
motif_Train9_8	motif_Train8_7
motif_Train9_8	motif_Train7_5
motif_Train9_8	motif_Train1_6
motif_Train9_8	motif_Train1_8
motif_Train9_8	motif_Train2_1
motif_Train9_8	motif_Train3_1
motif_Train9_8	motif_10_1
motif_Train9_8	motif_Train8_2
motif_Train9_8	motif_Train7_1
motif_Train1_1	motif_Train1_1
motif_Train1_1	motif_Train9_1
motif_Train1_1	motif_Train5_1
motif_Train1_1	motif_Train6_1
motif_Train1_1	motif_10_1
motif_Train1_1	motif_Train4_1
motif_Train1_1	motif_Train7_1
motif_Train1_1	motif_Train8_2
motif_Train1_1	motif_Train3_1
motif_Train1_1	motif_Train2_1
motif_Train1_1	motif_Train2_10
motif_Train1_1	motif_Train5_10
motif_Train1_1	motif_Train9_10
motif_Train1_1	motif_Train4_11
